Referencia;Descricao do Produto;Fabricante;Grupo;Qtde;Un;Custo Un;Custo;Total;
ONJ0032M       ;CESTA DECORATIVA EM RATTAN M                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;23;UN ;12,82;294,86;1837,7;
ONJ0032G       ;CESTA DECORATIVA EM RATTAN G                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;24;UN ;19,23;461,52;2325,6;
ONJ0027M       ;CESTA DECORATIVA EM RATTAN M                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;15;UN ;18,52;277,8;1198,5;
ONJ0027G       ;CESTA DECORATIVA EM RATTAN G                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;13;UN ;68,18;886,34;1259,7;
ONJ0028G       ;CESTA DECORATIVA EM RATTAN G                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;28;UN ;20,94;586,32;2517,2;
ONJ0033M       ;CESTA NATURAL DECORATIVA M                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;73,75;147,5;997,8;
ONJ0033G       ;CESTA NATURAL DECORATIVA G                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;110,63;221,26;1397,8;
ONJ0074M       ;CESTA DECORATIVA EM FIBRA NATURAL M                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;54,76;438,08;2319,2;
ONJ0074G       ;CESTA DECORATIVA EM FIBRA NATURAL G                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;82,14;739,26;3509,1;
ONJ0076MXM     ;CESTA DECORATIVA EM FIBRA NATURAL M                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;21,4;149,8;1189,3;
ONJ0076MXG     ;CESTA DECORATIVA EM FIBRA NATURAL G                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;36;UN ;32,11;1155,96;6836,4;
ONJ0075M       ;CESTA DECORATIVA EM FIBRA NATURAL M                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;54,76;438,08;2319,2;
ONJ0075G       ;CESTA DECORATIVA EM FIBRA NATURAL G                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;82,14;657,12;3119,2;
ONJ0077MXM     ;CESTA DECORATIVA EM FIBRA NATURAL M                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;14;UN ;21,88;306,32;2378,6;
ONJ0077MXG     ;CESTA DECORATIVA EM FIBRA NATURAL G                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;22;UN ;32,82;722,04;4177,8;
ONJ0104        ;GALHO SAMANBAIA JAMAICANA 140CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;25;UN ;13,98;349,5;1747,5;
ONJ0036M       ;VASO CERAMICA ESMALTADO MD 17X23CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;39,26;196,3;949,5;
ONJ0037G       ;VASO CERAMICA ESMALTADO GD 20X27CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;58,9;58,9;298,9;
ONJ0038M       ;VASO CERAMICA ESMALTADO MD 17X23CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;39,26;39,26;189,9;
ONJ0039M       ;VASO CERAMICA ESMALTADO MD 17X23CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;39,26;78,52;379,8;
ONJ0041M       ;CACHEPOT GARDEN MD 16X18X18CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;37,46;262,22;1329,3;
ONJ0041G       ;CACHEPOT GARDEN GD 20X22X22CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;56,19;393,33;2029,3;
ONJ0042M       ;CACHEPOT GARDEN MD 16X18X18CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;37,46;37,46;189,9;
ONJ0043M       ;CACHEPOT GARDEN MD 16X18X18CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;37,46;149,84;759,6;
ONJ0044M       ;CACHEPOT GARDEN MD 16X18X18CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;37,46;74,92;379,8;
ONJ0044G       ;CACHEPOT GARDEN GD 20X22X22CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;56,19;56,19;289,9;
ONJ0047M       ;VASO CERAMICA ESMALTADO MD 33X31CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;91,27;91,27;398,9;
ONJ0049M       ;VASO CERAMICA ESMALTADO MD 37X32CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;91,27;182,54;779,8;
ONJ0049G       ;VASO CERAMICA ESMALTADO GD 40X40CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;136,9;136,9;589,9;
ONJ0050M       ;VASO CERAMICA ESMALTADO MD 43X32CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;100,41;200,82;1179,8;
ONJ0050G       ;VASO CERAMICA ESMALTADO GD 47X40CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;150,62;150,62;789,9;
ONJ0127AV      ;TACA DE VIDRO TRANSP.                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;20;UN ;5,98;119,6;233;
ONJ0127MXAV    ;TACA DE VIDRO DIAMOND                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;0;0;139,93;
ONJ0128AV      ;XICARA BOROCILICATO PAREDE DUPLA C/FLORES 250ML             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;0;0;29,9;
ONJ0175        ;BAU DECORATIVO G                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;41,1;123,3;719,7;
ONJ0176        ;MALA DECORATIVA G                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;68,5;68,5;389,9;
ONJ0178        ;MALA VINHO DECORATIVO                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;27,4;109,6;559,6;
ONJ0187        ;CAIXA LIVRO DECORATIVO G                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;46,57;186,28;1159,6;
ONJ0188        ;CAIXA LIVRO DECORATIVO 3 GAVETAS                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;52,06;208,24;1279,6;
ONJ0190        ;CAIXA LIVRO DECORATIVO G                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;51,37;51,37;369,9;
ONJ0194        ;CAIXA LIVRO DECORATIVO G                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;32,88;131,52;879,6;
ONJ0200        ;ESCULTURA ASTROLABIO C/ESFERA 35CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;116,45;116,45;589,9;
ONJ0201        ;ESCULTURA ARVORE VIDA 60CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;205,5;205,5;1189,9;
ONJ0202        ;ESCULTURA ARVORE VIDA 50CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;178,1;178,1;889,9;
ONJ0203        ;SUPORTE PESO DECOR 13X13CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;52,06;104,12;539,8;
ONJ0204        ;AMPULHETA DECOR 32CM                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;93,16;93,16;469,9;
ONJ0208        ;VASO RELEVO RETO RESINA 50CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;161,52;161,52;798,9;
ONJ0209        ;ESCULTURA ASTROLABIO 30CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;131,52;263,04;1379,8;
ONJ0210        ;GLOBO MUNDO DECOR 40CM                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;109,06;218,12;1179,8;
ONJ0212        ;AMPULHETA DECOR 33CM                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;93,16;279,48;1409,7;
ONJ0213        ;ESCULTURA METAL RELOGIO 32CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;134,26;671,3;3449,5;
ONJ0214        ;GLOBO MUNDO DECOR 30CM                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;98,64;295,92;1469,7;
ONJ0215        ;GLOBO MUNDO DECOR 35CM                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;102,75;308,25;1709,7;
ONJ0218        ;ESCULTURA RELOGIO 22CM                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;130,15;130,15;689,9;
ONJ0222        ;GARRAFA SLIM METAL DECORATIVO                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;75,35;75,35;489,9;
ONJ0223        ;GARRAFA SLIM METAL DECORATIVO                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;102,75;205,5;1179,8;
ONJ0224        ;GARRAFA SLIM METAL DECORATIVO                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;130,17;260,34;1379,8;
ONJ0252        ;ESCULTURA METAL CARRO VINTAGE                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;89,05;89,05;489,9;
ONJ0254        ;ESCULTURA METAL CARRO VINTAGE                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;75,38;75,38;399,8;
ONJ0255        ;ESCULTURA METAL AVI�O VINTAGE                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;38,36;76,72;639,8;
ONJ0256        ;ESCULTURA WOOD CARRO                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;63,02;189,06;1169,7;
ONJ0257        ;ESCULTURA WOOD MOTOCICLETA                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;53,43;160,29;869,7;
ONJ0260        ;ESCULTURA WOOD AVI�O                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;53,43;106,86;579,8;
ONJ0261        ;ESCULTURA CABINE TELEFONICA                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;31,51;31,51;159,9;
ONJ0263        ;VASO DECORATIVO                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;105,49;105,49;598,9;
ONJ0268        ;POTICHE DECORATIVO                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;72,61;145,22;739,8;
ONJ0269        ;POTICHE DECORATIVO                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;58,91;235,64;1279,6;
ONJ0271        ;CACHEPOT DECORATIVO                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;24,66;73,98;389,7;
ONJ0273        ;CACHEPOT DECORATIVO                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;30,14;271,26;1529,1;
ONJ0274        ;CACHEPOT DECORATIVO                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;49,32;345,24;1679,3;
ONJ0275        ;CACHEPOT DECORATIVO                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;65,76;394,56;2339,4;
ONJ0276        ;VASO DECORATIVO                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;75,35;150,7;779,8;
ONJ0277        ;VASO DECORATIVO                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;61,65;123,3;639,8;
ONJ0279        ;VASO DECORATIVO                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;61,65;123,3;639,8;
ONJ0282        ;POTICHE DECORATIVO                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;52,06;52,06;179,9;
ONJ0283        ;POTICHE DECORATIVO                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;61,65;61,65;298,9;
ONJ0284        ;POTICHE DECORATIVO                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;75,35;75,35;389,9;
ONJ0286        ;CACHEPOT DECORATIVO                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;106,86;106,86;589,9;
ONJ0290        ;KIT DISPENSER COZINHA VD                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;118,8;118,8;629,9;
ONJ0293        ;KIT DISPENSER COZINHA BEGE                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;106,86;106,86;539,9;
ONJ0294        ;HASTE EUCALIPTUS MIX COLOR                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;30;UN ;8,91;267,3;1197;
ONJ0295        ;BQT. CRISANTEMO POMPO OUT. MIX COLOR                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;46;UN ;11,65;535,9;1835,4;
ONJ0296        ;HASTE EUCALIPTUS PREMIUM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;133;UN ;7,53;1001,49;3976,7;
ONJ0312        ;HASTE STRELITZIA 90CM                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;10,27;41,08;199,6;
ONJ0314        ;HASTE ORQUIDEA LAELIA 80CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;19;UN ;15,75;299,25;1328,1;
ONJ0315        ;HASTE ORQUIDEA CYMBYNDIUM 70CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;20;UN ;16,44;328,8;1398;
ONJ0316        ;HASTE MAGNOLIA 100CM                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;21,92;43,84;179,8;
ONJ0317        ;FOOHA DE ORQUIDEA CYMBINDIUM 55CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;13;UN ;6,16;80,08;518,7;
ONJ0318        ;BQT.HORTENSIAS MIX COLOR 45CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;29;UN ;15,75;456,75;2027,1;
ONJ0319        ;HASTE AMARILIS 68CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;9,59;76,72;319,2;
ONJ0320        ;HASTE FLOR DE PESSEGUEIRO 108CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;18;UN ;5,76;103,68;538,2;
ONJ0321        ;HASTE LISIANTHUS MIX COLOR 65CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;5,34;16,02;74,7;
ONJ0322        ;GALHO EUCALIPTUS 85CM                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;23;UN ;7,53;173,19;871,7;
ONJ0323        ;HASTE ORQUIDEA LAELIA 90CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;8,91;71,28;319,2;
ONJ0324        ;CACHEPOT DECOR PISO G                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;113,02;113,02;589,9;
ONJ0325        ;CACHEPOT DECOR PISO G                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;167,82;167,82;798,9;
ONJ0327        ;CACHEPOT DECOR PISO G                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;67,14;67,14;389,9;
ONJ0342        ;CACHEPOT DECOR PISO G                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;113;113;589,9;
ONJ0353        ;RELOGIO DECOR PREMIUM PAREDE 80CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;368,53;368,53;2389,9;
ONJ0357        ;RELOGIO DECOR PREMIUM PAREDE 55CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;306,88;306,88;1889,9;
ONJ0358        ;RELOGIO DECOR PREMIUM PAREDE 75CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;312,36;312,36;1889,9;
ONJ0359        ;RELOGIO DECOR PREMIUM PAREDE 80CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;437,03;874,06;5379,8;
ONJ0363        ;RELOGIO DECOR PREMIUM COM PE 57CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;231,53;231,53;1289,9;
ONJ0370        ;CENTRO DE MESA 35CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;93,16;93,16;489,9;
ONJ0377        ;VASO  DECOR 27CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;79,46;79,46;469,9;
ONJ0378        ;VASO  DECOR 21CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;65,78;131,56;859,8;
ONJ0379        ;VASO  DECOR 25CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;79,96;159,92;979,8;
ONJ0380        ;VASO  DECOR 20CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;79,46;397,3;1994,5;
ONJ0381        ;VASO  DECOR 24CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;93,16;465,8;2349,5;
ONJ0382        ;VASO  DECOR 20CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;79,46;397,3;1994,5;
ONJ0170        ;VASO ESCUTURA RESINA LONGO 40CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;61,65;308,25;1949,5;
ONJ0171        ;VASO ESCUTUR RESINA BAIXO 30CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;47,95;335,65;1889,3;
ONJ0172        ;VASO RELEVO RETO RESINA 41CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;54,8;54,8;289,9;
ONJ0174        ;VASO RELEVO RETO RESINA 50CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;19,18;38,36;193,6;
ONJ0225        ;ESCULTURA PREMIUM ELEFANTE                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;133,58;400,74;2069,7;
ONJ0226        ;ESCULTURA PREMIUM CAVALO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;123,3;739,8;4139,4;
ONJ0228        ;ESCULTURA PREMIUM CAVALO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;11;UN ;63,02;693,22;4288,9;
ONJ0233        ;ESCULTURA PREMIUM CAVALO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;212,35;1274,1;10139,4;
ONJ0234        ;ESCULTURA PREMIUM CAVALO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;794,6;4767,6;26339,4;
ONJ0237        ;ESCULTURA DAMA DA JUSTI�A 38CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;43,84;43,84;319,9;
ONJ0238        ;ESCULTURA GATINHOS 13CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;30,14;120,56;639,6;
ONJ0239        ;ESCULTURA GATINHOS 13CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;30,14;60,28;319,8;
ONJ0240        ;ESCULTURA ELEFANTE                                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;31,51;126,04;759,6;
ONJ0242        ;ESCULTURA GIRAFA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;41,1;123,3;719,7;
ONJ0384        ;VASO  DECOR 20CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;79,46;238,38;1196,7;
ONJ0385        ;VASO  DECOR 39CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;120,56;241,12;1379,8;
ONJ0386        ;VASO  DECOR 30CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;106,86;106,86;589,9;
ONJ0387        ;VASO  DECOR 18CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;106,86;213,72;1179,8;
ONJ0388        ;VASO  DECOR 10CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;12;UN ;38,36;460,32;2278,8;
ONJ0389        ;VASO  DECOR 15CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;52,06;416,48;2319,2;
ONJ0390        ;VASO  DECOR 10CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;38,36;153,44;759,6;
ONJ0391        ;VASO  DECOR 15CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;52,06;104,12;597,8;
ONJ0407        ;CENTRO DE MESA 46CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;202,76;202,76;1189,9;
ONJ0410        ;CENTRO DE MESA 69CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;216,26;216,26;1369,9;
ONJ0412        ;VASO  DECOR 35CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;134,26;268,52;1379,8;
ONJ0419        ;CENTRO DE MESA 40CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;175,36;175,36;889,9;
ONJ0421        ;CENTRO DE MESA 53CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;230,16;230,16;1189,9;
ONJ0422        ;CENTRO DE MESA 56CM                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;230,16;460,32;2379,8;
ONJ0426        ;VASO  DECOR 29CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;93,16;93,16;489,9;
ONJ0428        ;VASO  DECOR 29CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;93,16;372,64;1959,6;
ONJ0429        ;VASO  DECOR 23CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;79,46;556,22;2792,3;
ONJ0434        ;CENTRO DE MESA 69CM DR                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;312,36;312,36;1689,9;
ONJ0442        ;VASO METAL 98CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;108,23;216,46;1179,8;
ONJ0443        ;VASO METAL 64CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;64,39;64,39;329,9;
ONJ0444        ;VASO METAL 77CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;79,46;158,92;779,8;
ONJ0445        ;VASO METAL 91CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;89,05;89,05;489,9;
ONJ0446        ;VASO METAL 100CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;108,23;108,23;589,9;
ONJ0450        ;VASO METAL 63CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;64,39;64,39;389,9;
ONJ0452        ;VASO METAL 86CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;89,05;89,05;489,9;
ONJ0453        ;VASO METAL 42CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;52,06;104,12;597,8;
ONJ0454        ;VASO METAL 52CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;64,39;128,78;679,8;
